keyword,date,ranking,search_volume,notes
"TradeGo fasteners Zimbabwe",2026-04-26,not_found,,Site not indexed for this keyword
"fastener supplier Africa China",2026-04-26,not_found,,Site not appearing in top results
"drywall screws Zimbabwe",2026-04-26,not_found,,Need to check indexing
"IBR roofing nails South Africa",2026-04-26,not_found,,Site not appearing in top results
"hex bolts Nigeria supplier",2026-04-26,not_found,,Need SEO improvement
"anchor bolts Kenya construction",2026-04-26,not_found,,Not in top results
"self-drilling screws Africa",2026-04-26,not_found,,Need content optimization
"bulk fasteners China export",2026-04-26,not_found,,Not in top results
"China fasteners to Africa",2026-04-26,not_found,,Need backlink building
"Zimbabwe construction fasteners",2026-04-26,not_found,,Need GEO content
